,date,nav
1985,18-05-2018,60.83120
1986,17-05-2018,61.07490
1987,16-05-2018,60.67820
1988,15-05-2018,61.13010
1989,14-05-2018,61.13960
1990,11-05-2018,62.02210
1991,10-05-2018,62.18000
1992,09-05-2018,62.72550
1993,08-05-2018,62.34050
1994,07-05-2018,62.36200
1995,04-05-2018,61.55480
1996,03-05-2018,61.95660
1997,02-05-2018,62.41990
1998,30-04-2018,62.93230
1999,27-04-2018,63.09540
2000,26-04-2018,63.26410
2001,25-04-2018,62.51420
2002,24-04-2018,62.52410
2003,23-04-2018,62.33700
2004,20-04-2018,62.00670
2005,19-04-2018,62.03160
2006,18-04-2018,61.68120
2007,17-04-2018,61.82730
2008,16-04-2018,61.94470
2009,13-04-2018,61.58310
2010,12-04-2018,61.76480
2011,11-04-2018,61.61020
2012,10-04-2018,61.77810
2013,09-04-2018,61.55900
2014,06-04-2018,61.09850
2015,05-04-2018,60.59340
2016,04-04-2018,59.80790
2017,03-04-2018,60.36630
2018,02-04-2018,59.68970
2019,28-03-2018,58.09690
2020,27-03-2018,58.78480
2021,26-03-2018,58.34830
2022,23-03-2018,57.87920
2023,22-03-2018,58.38450
2024,21-03-2018,59.25810
2025,20-03-2018,59.09420
2026,19-03-2018,59.19310
2027,16-03-2018,60.17590
2028,15-03-2018,60.69640
2029,14-03-2018,60.38170
2030,13-03-2018,60.58530
2031,12-03-2018,59.99230
2032,09-03-2018,59.64270
2033,08-03-2018,59.61070
2034,07-03-2018,59.79240
2035,06-03-2018,60.76480
2036,05-03-2018,61.41790
2037,01-03-2018,62.21160
2038,28-02-2018,62.27740
2039,27-02-2018,62.48060
2040,26-02-2018,62.79880
2041,23-02-2018,62.21100
2042,22-02-2018,61.72890
2043,21-02-2018,61.84160
2044,20-02-2018,61.85500
2045,19-02-2018,61.70370
2046,16-02-2018,62.67230
2047,15-02-2018,63.68260
2048,14-02-2018,64.57070
2049,12-02-2018,64.47380
2050,09-02-2018,63.93510
2051,08-02-2018,63.70760
2052,07-02-2018,62.36000
2053,06-02-2018,61.06870
2054,05-02-2018,62.53910
2055,02-02-2018,62.51290
2056,01-02-2018,64.66040
2057,31-01-2018,64.87200
2058,30-01-2018,65.21160
2059,29-01-2018,65.46360
2060,25-01-2018,65.97430
2061,24-01-2018,66.45190
2062,23-01-2018,67.23810
2063,22-01-2018,67.67750
2064,19-01-2018,67.02540
2065,18-01-2018,66.46890
2066,17-01-2018,67.80710
2067,16-01-2018,67.64380
2068,15-01-2018,69.03920
2069,12-01-2018,68.84660
2070,11-01-2018,68.79270
2071,10-01-2018,68.68730
2072,09-01-2018,68.69750
2073,08-01-2018,69.06610
2074,05-01-2018,68.86840
2075,04-01-2018,67.80230
2076,03-01-2018,67.06270
2077,02-01-2018,65.59150
2078,01-01-2018,66.19530
2079,29-12-2017,66.15650
2080,28-12-2017,66.31830
2081,27-12-2017,66.04560
2082,26-12-2017,66.09610
2083,22-12-2017,66.20800
2084,21-12-2017,66.46990
2085,20-12-2017,65.87820
2086,19-12-2017,65.22960
2087,18-12-2017,63.86940
2088,15-12-2017,63.32380
2089,14-12-2017,62.78410
2090,13-12-2017,62.80650
2091,12-12-2017,63.38790
2092,11-12-2017,63.63180
2093,08-12-2017,62.84360
2094,07-12-2017,61.99160
2095,06-12-2017,61.46330
2096,05-12-2017,61.51050
2097,04-12-2017,61.31770
2098,01-12-2017,61.49890
2099,30-11-2017,61.95290
2100,29-11-2017,61.93300
2101,28-11-2017,61.83210
2102,27-11-2017,61.27620
2103,24-11-2017,61.08750
2104,23-11-2017,60.54080
2105,22-11-2017,60.06910
2106,21-11-2017,59.66670
2107,20-11-2017,59.20670
2108,17-11-2017,58.64860
2109,16-11-2017,58.08290
2110,15-11-2017,57.26890
2111,14-11-2017,57.90630
2112,13-11-2017,57.81860
2113,10-11-2017,57.78980
